action,month,day,hour,count,sum,avg,std,step
CASH_IN,0,0,13,68672,9686828357.18,141059.36,306.91,13
PAYMENT,0,0,13,9674,78068630.44,8069.94,46.77,13
DEBIT,0,0,13,3696,25602292.04,6927.03,83.42,13
TRANSFER,0,0,13,2137,851270587.27,398348.43,5148.74,13
CASH_OUT,0,0,13,9592,1285281798.37,133995.18,769.13,13
CASH_IN,0,0,14,74992,10382441032.23,138447.31,288.89,14
PAYMENT,0,0,14,12520,91119565.62,7277.92,35.95,14
DEBIT,0,0,14,4139,29786388.87,7196.52,79.23,14
TRANSFER,0,0,14,3011,1138124862.57,377988.99,4393.82,14
CASH_OUT,0,0,14,12656,1687691997.55,133351.14,750.15,14
CASH_IN,0,0,15,78777,10800077261.45,137096.83,278.10,15
PAYMENT,0,0,15,15878,118321817.36,7451.93,32.66,15
DEBIT,0,0,15,4584,51314830.93,11194.33,121.93,15
TRANSFER,0,0,15,3947,1507194752.85,381858.31,3760.71,15
CASH_OUT,0,0,15,16608,2176671291.86,131061.61,619.68,15
CASH_IN,0,0,16,66021,9090532484.81,137691.53,304.07,16
PAYMENT,0,0,16,15491,113559843.60,7330.70,33.06,16
DEBIT,0,0,16,4253,33997681.97,7993.81,88.85,16
TRANSFER,0,0,16,3792,1675772642.36,441923.17,4984.93,16
CASH_OUT,0,0,16,16717,2184561750.98,130679.05,753.47,16
CASH_IN,0,0,17,68091,9317603292.44,136840.45,296.12,17
PAYMENT,0,0,17,18220,132972565.81,7298.16,30.04,17
DEBIT,0,0,17,4787,39792509.14,8312.62,87.47,17
TRANSFER,0,0,17,4566,1739529585.63,380974.50,3654.09,17
CASH_OUT,0,0,17,18925,2379057360.51,125709.77,587.47,17
CASH_IN,0,0,18,82125,11162908263.59,135925.82,269.23,18
PAYMENT,0,0,18,25434,178280648.24,7009.54,24.66,18
DEBIT,0,0,18,6182,45774966.78,7404.56,67.15,18
TRANSFER,0,0,18,6149,2238181704.17,363991.17,2791.00,18
CASH_OUT,0,0,18,26945,3306455570.46,122711.28,386.06,18
CASH_IN,0,0,19,72484,9866509874.05,136119.83,285.70,19
PAYMENT,0,0,19,25331,190698193.94,7528.25,27.03,19
DEBIT,0,0,19,5804,50360059.00,8676.78,82.67,19
TRANSFER,0,0,19,6071,2594388066.61,427341.14,3487.07,19
CASH_OUT,0,0,19,25899,3238753637.00,125053.23,473.91,19
CASH_IN,0,0,20,55978,7513297494.98,134218.76,322.15,20
PAYMENT,0,0,20,20874,169650367.41,8127.35,32.25,20
DEBIT,0,0,20,4361,54488151.05,12494.42,138.27,20
TRANSFER,0,0,20,5233,2646583749.86,505748.85,4652.19,20
CASH_OUT,0,0,20,21422,2786726416.03,130087.13,637.83,20
CASH_IN,0,0,21,44091,5882227647.20,133411.07,362.08,21
PAYMENT,0,0,21,18526,149737592.12,8082.56,33.69,21
DEBIT,0,0,21,3836,35370413.99,9220.65,108.25,21
TRANSFER,0,0,21,4358,2059364513.22,472548.08,4517.75,21
CASH_OUT,0,0,21,17051,2253174606.63,132143.25,667.49,21
CASH_IN,0,0,22,34287,4623544022.31,134848.31,411.47,22
PAYMENT,0,0,22,15272,125734683.02,8233.02,37.91,22
DEBIT,0,0,22,3048,23266958.97,7633.52,100.16,22
TRANSFER,0,0,22,3208,1406724185.43,438505.05,4823.73,22
CASH_OUT,0,0,22,13994,1855553834.55,132596.39,713.81,22
CASH_IN,0,0,23,18128,2494483512.98,137603.90,575.09,23
PAYMENT,0,0,23,9110,75234630.67,8258.47,48.95,23
DEBIT,0,0,23,1616,11357507.75,7028.16,130.53,23
TRANSFER,0,0,23,1845,815199781.32,441842.70,7045.38,23
CASH_OUT,0,0,23,7319,1008625195.24,137809.15,1390.43,23
CASH_IN,0,1,0,8098,1128282706.02,139328.56,876.27,24
PAYMENT,0,1,0,4070,33848225.37,8316.52,73.30,24
DEBIT,0,1,0,690,5641003.33,8175.37,237.39,24
TRANSFER,0,1,0,819,357297909.01,436261.18,11184.81,24
CASH_OUT,0,1,0,3572,495179650.49,138628.12,2205.93,24
CASH_IN,0,1,1,4393,621784384.99,141539.81,1201.88,25
PAYMENT,0,1,1,2307,18133752.32,7860.32,95.94,25
DEBIT,0,1,1,403,2406878.99,5972.40,212.18,25
TRANSFER,0,1,1,414,206026479.89,497648.50,22310.25,25
CASH_OUT,0,1,1,1963,283172640.23,144255.04,4585.80,25
CASH_IN,0,1,2,807,116654584.04,144553.39,2810.48,26
PAYMENT,0,1,2,493,3827608.24,7763.91,202.64,26
DEBIT,0,1,2,88,371682.93,4223.67,395.96,26
TRANSFER,0,1,2,42,39886872.42,949687.44,166086.03,26
CASH_OUT,0,1,2,376,72434516.32,192644.99,22185.01,26
CASH_IN,0,1,3,30,3797860.24,126595.34,13706.27,27
PAYMENT,0,1,3,25,182552.53,7302.10,992.98,27
DEBIT,0,1,3,8,24129.43,3016.18,684.74,27
TRANSFER,0,1,3,16,29358320.93,1834895.06,346353.54,27
CASH_OUT,0,1,3,29,30838874.26,1063409.46,247946.30,27
TRANSFER,0,1,4,13,19724845.26,1517295.79,232595.95,28
CASH_OUT,0,1,4,13,19724845.26,1517295.79,232595.95,28
TRANSFER,0,1,5,11,28724795.21,2611345.02,453769.28,29
CASH_OUT,0,1,5,11,28724795.21,2611345.02,453769.28,29
TRANSFER,0,1,6,8,16994012.50,2124251.56,444380.49,30
CASH_OUT,0,1,6,8,16994012.50,2124251.56,444380.49,30
TRANSFER,0,1,7,20,44239505.44,2211975.27,258897.25,31
CASH_OUT,0,1,7,20,44239505.44,2211975.27,258897.25,31
TRANSFER,0,1,8,10,27092910.74,2709291.07,397516.60,32
CASH_OUT,0,1,8,10,27092910.74,2709291.07,397516.60,32
TRANSFER,0,1,9,9,15016337.43,1668481.94,520335.00,33
CASH_OUT,0,1,9,8,15016287.43,1877035.93,538256.47,33
CASH_IN,0,1,10,5214,736373956.94,141230.14,1126.27,34
PAYMENT,0,1,10,2510,22135254.41,8818.83,98.92,34
DEBIT,0,1,10,472,2949901.54,6249.79,204.16,34
TRANSFER,0,1,10,558,262490656.69,470413.36,15083.30,34
CASH_OUT,0,1,10,2597,371526187.37,143059.76,2876.45,34
CASH_IN,0,1,11,27963,3892080332.91,139186.79,470.77,35
PAYMENT,0,1,11,11912,104731468.98,8792.10,45.93,35
DEBIT,0,1,11,2424,26960268.74,11122.22,165.77,35
TRANSFER,0,1,11,2920,1359565818.93,465604.73,5733.58,35
CASH_OUT,0,1,11,12829,1773341775.39,138229.15,929.81,35
CASH_IN,0,1,12,56347,7867648271.20,139628.52,332.36,36
PAYMENT,0,1,12,24961,219132764.92,8779.01,32.06,36
DEBIT,0,1,12,4921,61681680.25,12534.38,132.32,36
TRANSFER,0,1,12,6698,2904704492.40,433667.44,3243.98,36
CASH_OUT,0,1,12,26280,3590255981.38,136615.52,483.87,36
CASH_IN,0,1,13,32327,4529520622.06,140115.71,440.44,37
PAYMENT,0,1,13,14677,122516744.46,8347.53,39.89,37
DEBIT,0,1,13,2854,31296904.46,10965.98,148.73,37
TRANSFER,0,1,13,3671,1547649739.82,421588.05,4401.01,37
CASH_OUT,0,1,13,16520,2249188368.45,136149.42,689.51,37
CASH_IN,0,1,14,30167,4228318974.96,140163.72,454.77,38
PAYMENT,0,1,14,13662,99030853.91,7248.64,34.45,38
DEBIT,0,1,14,2929,15804281.97,5395.79,73.27,38
TRANSFER,0,1,14,3321,1405296080.14,423154.50,4895.57,38
CASH_OUT,0,1,14,15411,2057106328.06,133482.99,748.58,38
CASH_IN,0,1,15,16173,2226714260.18,137680.97,611.81,39
PAYMENT,0,1,15,7890,57965054.68,7346.65,45.48,39
DEBIT,0,1,15,1590,15770967.58,9918.85,184.54,39
TRANSFER,0,1,15,1969,917362979.80,465902.99,7176.86,39
CASH_OUT,0,1,15,8202,1093822816.72,133360.50,1068.04,39
CASH_IN,0,1,16,47255,6607293663.29,139822.11,362.78,40
PAYMENT,0,1,16,23313,167953158.13,7204.27,26.52,40
DEBIT,0,1,16,4512,49679305.25,11010.48,122.20,40
TRANSFER,0,1,16,6365,2594896214.97,407682.04,3180.17,40
CASH_OUT,0,1,16,24537,3179596861.14,129583.77,458.35,40
CASH_IN,0,1,17,42324,5840437994.79,137993.53,379.19,41
PAYMENT,0,1,17,21229,145473179.63,6852.57,26.50,41
DEBIT,0,1,17,4087,44224218.06,10820.70,125.61,41
TRANSFER,0,1,17,5758,2360158355.54,409892.04,3670.88,41
CASH_OUT,0,1,17,22954,2905542884.69,126581.11,627.13,41
CASH_IN,0,1,18,50058,6923622369.49,138312.01,347.93,42
PAYMENT,0,1,18,26477,181173081.37,6842.66,23.67,42
DEBIT,0,1,18,4836,62469581.11,12917.61,135.79,42
TRANSFER,0,1,18,7017,2918738780.16,415952.51,3142.99,42
CASH_OUT,0,1,18,27938,3416436788.47,122286.38,427.67,42
CASH_IN,0,1,19,50207,6881404998.57,137060.67,347.92,43
PAYMENT,0,1,19,27257,222103199.98,8148.48,28.52,43
DEBIT,0,1,19,5617,34633493.87,6165.83,59.90,43
TRANSFER,0,1,19,7291,3342073509.45,458383.42,3371.03,43
CASH_OUT,0,1,19,29456,3670252129.32,124601.17,424.31,43
CASH_IN,0,1,20,42549,5831612809.34,137056.40,375.66,44
PAYMENT,0,1,20,24359,225130581.93,9242.19,33.99,44
DEBIT,0,1,20,4800,26450739.60,5510.57,57.49,44
TRANSFER,0,1,20,6093,3324952542.87,545700.40,4318.27,44
CASH_OUT,0,1,20,24400,3195908558.56,130979.86,504.90,44
CASH_IN,0,1,21,33936,4644975376.34,136874.57,424.88,45
PAYMENT,0,1,21,20175,189635225.03,9399.52,38.09,45
DEBIT,0,1,21,3937,22554749.02,5728.92,66.36,45
TRANSFER,0,1,21,4743,2361190590.08,497826.39,4668.19,45
CASH_OUT,0,1,21,18935,2510863365.08,132604.35,691.72,45
CASH_IN,0,1,22,28708,3946427476.59,137467.87,460.61,46
PAYMENT,0,1,22,18612,170114751.06,9140.06,39.11,46
DEBIT,0,1,22,3343,17050033.10,5100.22,65.46,46
TRANSFER,0,1,22,4153,2032646711.86,489440.58,4816.39,46
CASH_OUT,0,1,22,16626,2229007781.82,134067.59,683.56,46
CASH_IN,0,1,23,19310,2677366692.44,138651.82,568.76,47
PAYMENT,0,1,23,13446,116225391.11,8643.86,43.19,47
DEBIT,0,1,23,2233,15036473.21,6733.75,97.65,47
TRANSFER,0,1,23,2862,1241561425.69,433809.02,5753.92,47
CASH_OUT,0,1,23,11418,1573379317.95,137798.15,1125.29,47
CASH_IN,0,2,0,13410,1875653402.40,139869.75,681.90,48
PAYMENT,0,2,0,9605,82085544.91,8546.13,50.17,48
DEBIT,0,2,0,1633,9145042.59,5600.15,100.87,48
TRANSFER,0,2,0,1981,878438957.57,443432.08,7137.58,48
CASH_OUT,0,2,0,8248,1137198993.09,137875.73,1299.10,48
CASH_IN,0,2,1,1390,193293394.40,139060.00,2101.39,49
PAYMENT,0,2,1,1145,9776762.91,8538.66,144.03,49
DEBIT,0,2,1,191,965378.63,5054.34,268.98,49
TRANSFER,0,2,1,239,125235545.37,523998.10,39755.58,49
CASH_OUT,0,2,1,988,158639706.11,160566.50,9810.84,49
TRANSFER,0,2,2,7,17621988.39,2517426.91,408138.41,50
CASH_OUT,0,2,2,7,17621988.39,2517426.91,408138.41,50
TRANSFER,0,2,3,13,35334108.41,2718008.34,416456.97,51
CASH_OUT,0,2,3,13,35334108.41,2718008.34,416456.97,51
TRANSFER,0,2,4,11,25159406.68,2287218.79,456071.71,52
CASH_OUT,0,2,4,10,25159356.68,2515935.67,430989.18,52
TRANSFER,0,2,5,12,30194865.63,2516238.80,402760.71,53
CASH_OUT,0,2,5,12,30194865.63,2516238.80,402760.71,53
TRANSFER,0,2,6,8,20681160.30,2585145.04,484432.55,54
CASH_OUT,0,2,6,8,20681160.30,2585145.04,484432.55,54
TRANSFER,0,2,7,10,29858374.09,2985837.41,371408.83,55
CASH_OUT,0,2,7,10,29858374.09,2985837.41,371408.83,55
TRANSFER,0,2,8,11,30493062.37,2772096.58,395150.07,56
CASH_OUT,0,2,8,11,30493062.37,2772096.58,395150.07,56
TRANSFER,0,2,9,15,41813297.08,2787553.14,431933.00,57
CASH_OUT,0,2,9,15,41813297.08,2787553.14,431933.00,57
TRANSFER,0,2,10,6,13944020.86,2324003.48,202871.10,58
CASH_OUT,0,2,10,6,13944020.86,2324003.48,202871.10,58
TRANSFER,0,2,11,7,17919291.76,2559898.82,426648.76,59
CASH_OUT,0,2,11,7,17919291.76,2559898.82,426648.76,59
TRANSFER,0,2,12,9,28992904.64,3221433.85,213419.21,60
CASH_OUT,0,2,12,9,28992904.64,3221433.85,213419.21,60
TRANSFER,0,2,13,12,23506916.04,1958909.67,339085.00,61
CASH_OUT,0,2,13,12,23506916.04,1958909.67,339085.00,61
TRANSFER,0,2,14,9,18770637.33,2085626.37,392914.65,62
CASH_OUT,0,2,14,9,18770637.33,2085626.37,392914.65,62
TRANSFER,0,2,15,12,37260029.19,3105002.43,342245.39,63
CASH_OUT,0,2,15,12,37260029.19,3105002.43,342245.39,63
TRANSFER,0,2,16,6,15376134.68,2562689.11,412503.70,64
CASH_OUT,0,2,16,6,15376134.68,2562689.11,412503.70,64
TRANSFER,0,2,17,11,32363973.15,2942179.38,433854.54,65
CASH_OUT,0,2,17,11,32363973.15,2942179.38,433854.54,65
TRANSFER,0,2,18,9,23352035.16,2594670.57,374331.43,66
CASH_OUT,0,2,18,9,23352035.16,2594670.57,374331.43,66
TRANSFER,0,2,19,11,29523500.42,2683954.58,343490.08,67
CASH_OUT,0,2,19,11,29523500.42,2683954.58,343490.08,67
TRANSFER,0,2,20,12,27395517.01,2282959.75,318466.04,68
CASH_OUT,0,2,20,12,27395517.01,2282959.75,318466.04,68
TRANSFER,0,2,21,14,42309796.61,3022128.33,316775.33,69
CASH_OUT,0,2,21,14,42309796.61,3022128.33,316775.33,69
TRANSFER,0,2,22,10,28578739.71,2857873.97,340808.34,70
CASH_OUT,0,2,22,10,28578739.71,2857873.97,340808.34,70
TRANSFER,0,2,23,10,21550898.95,2155089.89,469162.62,71
CASH_OUT,0,2,23,9,21550878.95,2394542.11,444916.35,71
TRANSFER,0,3,0,8,20030255.93,2503781.99,338482.85,72
CASH_OUT,0,3,0,8,20030255.93,2503781.99,338482.85,72
TRANSFER,0,3,1,7,13062184.76,1866026.39,509839.21,73
CASH_OUT,0,3,1,7,13062184.76,1866026.39,509839.21,73
TRANSFER,0,3,2,9,26701052.35,2966783.59,354952.25,74
CASH_OUT,0,3,2,9,26701052.35,2966783.59,354952.25,74
TRANSFER,0,3,3,12,36544283.17,3045356.93,251128.45,75
CASH_OUT,0,3,3,12,36544283.17,3045356.93,251128.45,75
TRANSFER,0,3,4,4,10238809.63,2559702.41,690429.95,76
CASH_OUT,0,3,4,4,10238809.63,2559702.41,690429.95,76
TRANSFER,0,3,5,11,23326579.24,2120598.11,251830.05,77
CASH_OUT,0,3,5,11,23326579.24,2120598.11,251830.05,77
TRANSFER,0,3,6,12,26543365.97,2211947.16,448533.86,78
CASH_OUT,0,3,6,11,26543345.97,2413031.45,435955.18,78
TRANSFER,0,3,7,7,16430974.48,2347282.07,401259.39,79
CASH_OUT,0,3,7,7,16430974.48,2347282.07,401259.39,79
TRANSFER,0,3,8,8,18459116.49,2307389.56,484862.45,80
CASH_OUT,0,3,8,8,18459116.49,2307389.56,484862.45,80
TRANSFER,0,3,9,9,16504161.18,1833795.69,585898.56,81
CASH_OUT,0,3,9,8,16504151.18,2063018.90,609225.33,81
TRANSFER,0,3,10,11,29802355.16,2709305.01,338746.41,82
CASH_OUT,0,3,10,11,29802355.16,2709305.01,338746.41,82
TRANSFER,0,3,11,13,32701552.93,2515504.07,337264.38,83
CASH_OUT,0,3,11,13,32701552.93,2515504.07,337264.38,83
TRANSFER,0,3,12,6,19144367.18,3190727.86,606232.27,84
CASH_OUT,0,3,12,6,19144367.18,3190727.86,606232.27,84
TRANSFER,0,3,13,11,30384085.15,2762189.56,265993.03,85
CASH_OUT,0,3,13,11,30384085.15,2762189.56,265993.03,85
TRANSFER,0,3,14,13,28136898.59,2164376.81,338633.77,86
CASH_OUT,0,3,14,13,28136898.59,2164376.81,338633.77,86
TRANSFER,0,3,15,9,15728096.79,1747566.31,443118.11,87
CASH_OUT,0,3,15,9,15728096.79,1747566.31,443118.11,87
TRANSFER,0,3,16,6,15213482.46,2535580.41,405998.49,88
CASH_OUT,0,3,16,6,15213482.46,2535580.41,405998.49,88
TRANSFER,0,3,17,11,27876048.50,2534186.23,401703.92,89
CASH_OUT,0,3,17,11,27876048.50,2534186.23,401703.92,89
TRANSFER,0,3,18,9,29845955.18,3316217.24,521267.13,90
CASH_OUT,0,3,18,9,29845955.18,3316217.24,521267.13,90
TRANSFER,0,3,19,16,42485780.04,2655361.25,302766.85,91
CASH_OUT,0,3,19,15,42485760.04,2832384.00,258570.98,91
TRANSFER,0,3,20,12,32436973.80,2703081.15,296441.80,92
CASH_OUT,0,3,20,12,32436973.80,2703081.15,296441.80,92
CASH_IN,0,3,21,8621,1176265093.58,136441.84,832.54,93
PAYMENT,0,3,21,5586,50216941.56,8989.79,69.24,93
DEBIT,0,3,21,988,5676959.52,5745.91,135.81,93
TRANSFER,0,3,21,1302,555987303.67,427025.58,9721.84,93
CASH_OUT,0,3,21,5826,792468133.92,136022.68,1867.64,93
CASH_IN,0,3,22,22062,2993493107.41,135685.48,519.07,94
PAYMENT,0,3,22,14897,133423090.92,8956.37,42.83,94
DEBIT,0,3,22,2547,14044279.34,5514.05,81.41,94
TRANSFER,0,3,22,2977,1270495325.66,426770.35,4831.58,94
CASH_OUT,0,3,22,13636,1824361160.78,133790.05,685.64,94
CASH_IN,0,3,23,16520,2300663064.39,139265.32,611.74,95
PAYMENT,0,3,23,11617,106325131.06,9152.55,48.74,95
DEBIT,0,3,23,1948,10159330.68,5215.26,89.25,95
TRANSFER,0,3,23,2442,1057965125.57,433237.15,5466.08,95
CASH_OUT,0,3,23,10004,1324428602.45,132389.90,817.28,95
CASH_IN,0,4,0,15091,2097729427.36,139005.33,635.20,96
PAYMENT,0,4,0,10970,96749319.42,8819.45,49.97,96
DEBIT,0,4,0,1821,7942629.93,4361.69,84.18,96
TRANSFER,0,4,0,2135,917685025.01,429829.05,7110.22,96
CASH_OUT,0,4,0,8760,1199560998.61,136936.19,1384.29,96
CASH_IN,0,4,1,1060,150678664.78,142149.68,2495.41,97
PAYMENT,0,4,1,905,8445460.67,9332.00,182.80,97
DEBIT,0,4,1,145,574112.52,3959.40,277.70,97
TRANSFER,0,4,1,199,108119279.56,543312.96,44636.96,97
CASH_OUT,0,4,1,613,113472832.37,185110.66,15328.11,97
TRANSFER,0,4,2,6,18062066.00,3010344.33,311648.40,98
CASH_OUT,0,4,2,6,18062066.00,3010344.33,311648.40,98
TRANSFER,0,4,3,9,21832841.41,2425871.27,442639.27,99
CASH_OUT,0,4,3,9,21832841.41,2425871.27,442639.27,99
TRANSFER,0,4,4,9,22383844.31,2487093.81,524820.27,100
CASH_OUT,0,4,4,8,22383794.31,2797974.29,466628.46,100
TRANSFER,0,4,5,8,22880413.38,2860051.67,500309.91,101
CASH_OUT,0,4,5,8,22880413.38,2860051.67,500309.91,101
TRANSFER,0,4,6,8,22787669.51,2848458.69,391739.61,102
CASH_OUT,0,4,6,8,22787669.51,2848458.69,391739.61,102
TRANSFER,0,4,7,9,21248181.83,2360909.09,397958.96,103
CASH_OUT,0,4,7,9,21248181.83,2360909.09,397958.96,103
TRANSFER,0,4,8,6,19039834.91,3173305.82,525368.96,104
CASH_OUT,0,4,8,6,19039834.91,3173305.82,525368.96,104
TRANSFER,0,4,9,12,38252609.71,3187717.48,399497.68,105
CASH_OUT,0,4,9,12,38252609.71,3187717.48,399497.68,105
TRANSFER,0,4,10,18,39824043.05,2212446.84,229193.37,106
CASH_OUT,0,4,10,18,39824043.05,2212446.84,229193.37,106
TRANSFER,0,4,11,9,27124337.01,3013815.22,452541.32,107
CASH_OUT,0,4,11,9,27124337.01,3013815.22,452541.32,107
TRANSFER,0,4,12,10,26354089.42,2635408.94,379533.74,108
CASH_OUT,0,4,12,10,26354089.42,2635408.94,379533.74,108
TRANSFER,0,4,13,9,21482041.22,2386893.47,582323.11,109
CASH_OUT,0,4,13,7,21481971.22,3068853.03,442616.73,109
TRANSFER,0,4,14,11,31448661.43,2858969.22,437311.52,110
CASH_OUT,0,4,14,11,31448661.43,2858969.22,437311.52,110
TRANSFER,0,4,15,12,37463048.47,3121920.71,317684.71,111
CASH_OUT,0,4,15,12,37463048.47,3121920.71,317684.71,111
TRANSFER,0,4,16,12,35852689.50,2987724.13,382167.22,112
CASH_OUT,0,4,16,12,35852689.50,2987724.13,382167.22,112
TRANSFER,0,4,17,14,35751377.83,2553669.84,365531.50,113
CASH_OUT,0,4,17,14,35751377.83,2553669.84,365531.50,113
TRANSFER,0,4,18,7,14529074.62,2075582.09,457995.75,114
CASH_OUT,0,4,18,7,14529074.62,2075582.09,457995.75,114
TRANSFER,0,4,19,11,32872258.22,2988387.11,379892.13,115
CASH_OUT,0,4,19,11,32872258.22,2988387.11,379892.13,115
TRANSFER,0,4,20,9,24001507.97,2666834.22,484239.62,116
CASH_OUT,0,4,20,9,24001507.97,2666834.22,484239.62,116
TRANSFER,0,4,21,8,17946173.00,2243271.62,646837.66,117
CASH_OUT,0,4,21,7,17946153.00,2563736.14,640106.08,117
TRANSFER,0,4,22,6,17063897.14,2843982.86,663663.71,118
CASH_OUT,0,4,22,6,17063897.14,2843982.86,663663.71,118
CASH_IN,0,4,23,13762,1895260343.94,137716.93,667.25,119
PAYMENT,0,4,23,9842,89377503.67,9081.23,52.52,119
DEBIT,0,4,23,1680,7546937.85,4492.22,84.75,119
TRANSFER,0,4,23,1923,785755290.32,408609.10,5990.67,119
CASH_OUT,0,4,23,8262,1095151869.78,132552.88,988.47,119
CASH_IN,0,5,0,6662,906013543.96,135997.23,946.34,120
PAYMENT,0,5,0,5025,43996820.43,8755.59,71.43,120
DEBIT,0,5,0,842,5407951.11,6422.74,147.36,120
TRANSFER,0,5,0,955,395721422.22,414367.98,11401.59,120
CASH_OUT,0,5,0,4402,606571699.04,137794.57,2334.97,120
CASH_IN,0,5,1,1976,277000828.35,140182.61,1793.72,121
PAYMENT,0,5,1,1750,16256448.47,9289.40,124.36,121
DEBIT,0,5,1,309,1270498.41,4111.65,204.69,121
TRANSFER,0,5,1,346,175826544.74,508169.20,52759.53,121
CASH_OUT,0,5,1,1655,259035896.54,156517.16,11272.58,121
CASH_IN,0,5,2,573,80353604.98,140233.17,3508.19,122
PAYMENT,0,5,2,474,4154043.34,8763.80,239.71,122
DEBIT,0,5,2,78,276565.85,3545.72,358.77,122
TRANSFER,0,5,2,54,45333193.71,839503.59,139618.00,122
CASH_OUT,0,5,2,419,83770556.47,199929.73,20981.71,122
CASH_IN,0,5,3,22,2964862.97,134766.50,20155.76,123
PAYMENT,0,5,3,14,120765.31,8626.09,1176.26,123
DEBIT,0,5,3,4,9878.64,2469.66,936.71,123
TRANSFER,0,5,3,11,26538357.81,2412577.98,419088.33,123
CASH_OUT,0,5,3,16,26886529.33,1680408.08,401793.14,123
TRANSFER,0,5,4,12,31904340.17,2658695.01,392181.83,124
CASH_OUT,0,5,4,12,31904340.17,2658695.01,392181.83,124
TRANSFER,0,5,5,11,30183364.75,2743942.25,318430.08,125
CASH_OUT,0,5,5,11,30183364.75,2743942.25,318430.08,125
TRANSFER,0,5,6,9,23372897.70,2596988.63,479033.61,126
CASH_OUT,0,5,6,9,23372897.70,2596988.63,479033.61,126
TRANSFER,0,5,7,6,14662429.71,2443738.28,441506.58,127
CASH_OUT,0,5,7,6,14662429.71,2443738.28,441506.58,127
TRANSFER,0,5,8,10,27401122.24,2740112.22,510225.70,128
CASH_OUT,0,5,8,10,27401122.24,2740112.22,510225.70,128
TRANSFER,0,5,9,10,26448910.68,2644891.07,348618.13,129
CASH_OUT,0,5,9,10,26448910.68,2644891.07,348618.13,129
